,val_loss,loss
0,0.019170349463820457,0.07279919133599246
1,0.010359494015574455,0.016901111769333094
2,0.008283146657049656,0.009857510727384262
3,0.0066484324634075165,0.008412734456487825
4,0.006791045423597097,0.007124069346007086
5,0.00508288387209177,0.006595844564883371
6,0.0047904071398079395,0.005651848605942993
7,0.0038337353616952896,0.00519026145969607
8,0.003639536676928401,0.004307790133379084
9,0.003343854332342744,0.003999031429090001
10,0.0032268499489873648,0.004171227321856906
11,0.0029389620758593082,0.0034041383355606436
12,0.003655047155916691,0.004120629035511021
13,0.004855674225836992,0.00379947222323291
